timestamp,content,style,size,steps,alpha,beta,gamma,lr,seed,final_total_loss,wall_time_s,ssim_vs_content,final_image
2025-09-15T06:01:07.707666+00:00,moutain.jpg,hokusai.jpg,256,50,1,1000,10,0.02,42,4.857771e+11,79.588,0.406928,outputs\runs\moutain__hokusai__256px_50s_a1_b1000_tv10_lr0.02_seed42__final.png
2025-09-15T06:02:26.858075+00:00,moutain.jpg,hokusai.jpg,256,50,1,2000,10,0.02,42,9.718626e+11,79.145,0.406950,outputs\runs\moutain__hokusai__256px_50s_a1_b2000_tv10_lr0.02_seed42__final.png
2025-09-15T06:03:46.710797+00:00,moutain.jpg,hokusai.jpg,256,50,1,5000,10,0.02,42,2.428938e+12,79.847,0.406981,outputs\runs\moutain__hokusai__256px_50s_a1_b5000_tv10_lr0.02_seed42__final.png
2025-09-15T06:05:09.417893+00:00,moutain.jpg,monet.jpg,256,50,1,1000,10,0.02,42,4.657579e+10,80.930,0.402777,outputs\runs\moutain__monet__256px_50s_a1_b1000_tv10_lr0.02_seed42__final.png
2025-09-15T06:06:27.602974+00:00,moutain.jpg,monet.jpg,256,50,1,2000,10,0.02,42,9.309278e+10,78.181,0.402770,outputs\runs\moutain__monet__256px_50s_a1_b2000_tv10_lr0.02_seed42__final.png
2025-09-15T06:07:46.105783+00:00,moutain.jpg,monet.jpg,256,50,1,5000,10,0.02,42,2.327700e+11,78.497,0.402780,outputs\runs\moutain__monet__256px_50s_a1_b5000_tv10_lr0.02_seed42__final.png
2025-09-15T06:09:09.464566+00:00,moutain.jpg,Starry_night.jpg,256,50,1,1000,10,0.02,42,3.582885e+11,81.623,0.382913,outputs\runs\moutain__Starry_night__256px_50s_a1_b1000_tv10_lr0.02_seed42__final.png
2025-09-15T06:10:31.665878+00:00,moutain.jpg,Starry_night.jpg,256,50,1,2000,10,0.02,42,7.163114e+11,82.195,0.382874,outputs\runs\moutain__Starry_night__256px_50s_a1_b2000_tv10_lr0.02_seed42__final.png
2025-09-15T06:11:54.129377+00:00,moutain.jpg,Starry_night.jpg,256,50,1,5000,10,0.02,42,1.790073e+12,82.459,0.382940,outputs\runs\moutain__Starry_night__256px_50s_a1_b5000_tv10_lr0.02_seed42__final.png
2025-09-15T06:13:14.847710+00:00,moutain.jpg,Surrealism.jpg,256,50,1,1000,10,0.02,42,3.646077e+11,78.926,0.484185,outputs\runs\moutain__Surrealism__256px_50s_a1_b1000_tv10_lr0.02_seed42__final.png
2025-09-15T06:14:33.382371+00:00,moutain.jpg,Surrealism.jpg,256,50,1,2000,10,0.02,42,7.292693e+11,78.530,0.484064,outputs\runs\moutain__Surrealism__256px_50s_a1_b2000_tv10_lr0.02_seed42__final.png
2025-09-15T06:15:51.461637+00:00,moutain.jpg,Surrealism.jpg,256,50,1,5000,10,0.02,42,1.823672e+12,78.074,0.484167,outputs\runs\moutain__Surrealism__256px_50s_a1_b5000_tv10_lr0.02_seed42__final.png
2025-09-15T06:17:13.133308+00:00,night sky.jpg,cubism.jpg,256,50,1,1000,10,0.02,42,3.345625e+12,79.903,0.171978,outputs\runs\night sky__cubism__256px_50s_a1_b1000_tv10_lr0.02_seed42__final.png
